"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Botany","001","","105","3.519","56.2","10.5","20.0","7.6","5.7",".",".",".",".",".",".",".",".",".",".","."
"123
Plants, Parasites, & People","001","","67","3.112","25.4","13.4","38.8","11.9","7.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"130
General Botany","001","","150","2.899","26.0","14.0","24.0","6.0","19.3","9.3","0.7",".",".",".",".",".","0.7",".",".","."
"151","001","","6","2.417",".",".","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"151","002","","8","2.250",".",".","12.5","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","14","2.321",".",".","28.6","35.7","21.4","14.3",".",".",".",".",".",".",".",".",".","."
"152","001","","6","3.083","33.3",".","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"152","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"152","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","9","3.000","22.2",".","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","63","3.111","34.9","9.5","22.2","12.7","19.0","1.6",".",".",".",".",".",".",".",".",".","."
"332
Fungi","001","","17","3.118","17.6","35.3","23.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"410
Evolutionary Biology","001","","13","3.154","23.1","30.8","23.1",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"422
Plant Geography","001","","27","3.537","44.4","18.5","37.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Midwest Ecol Iss: Case Study","001","","69","3.258","29.0","20.3","36.2",".","7.2","1.4","1.4","2.9",".",".",".",".","1.4",".",".","."
"460
General Ecology","001","","42","2.810","21.4","9.5","31.0","4.8","26.2","4.8","2.4",".",".",".",".",".",".",".",".","."
"461
Environmental Sys Concepts","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"466
General Genetics","001","","7","3.071","28.6","28.6",".","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"468
Intro to Systems Biology","001","","33","3.567","57.6","15.2","9.1","3.0","3.0",".","3.0","6.1",".",".",".",".",".",".","3.0","."
"500
Plant Physiology","001","","38","3.319","39.5","18.4","28.9",".","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"563
Phylogenetic Anal-Molec Data","001","","18","3.750","50.0","16.7","11.1",".",".",".",".","11.1",".",".",".",".","5.6",".","5.6","."
"575
Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Conservation Biology","001","","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"655
Biol & Genetics-Filament Fungi","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 170 of 403",""
