"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","15","3.467","26.7","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","57","3.579","40.4","36.8","21.1","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","111
001","","20","3.550","50.0","25.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","","19","3.500","21.1","63.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","Course Total","","39","3.526","35.9","43.6","10.3","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","","15","3.800","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","299
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","","6","3.750","50.0",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".","16.7","."
"","299
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.810","63.6","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".","9.1","."
"Feature Writing","320
001","","11","3.550","36.4","27.3","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","13","3.308","38.5","23.1","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Practicum in Agri-science Educ","345
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001","","20","3.775","75.0","15.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","Course Total","","56","3.821","73.2","21.4","1.8","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","","13","3.423","23.1","53.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","003
375","","11","3.227","36.4","9.1","36.4",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","375
004","","33","3.832","90.9","3.0","3.0",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","59","3.595","64.4","15.3","10.2","3.4","5.1",".","1.7",".",".",".",".",".",".",".",".","."
"Teaching Methods:Agri-sci Educ","377
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Integrated Marktng Communicatn","435
001","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","","16","3.357","43.8","12.5","25.0",".",".",".","6.3","6.3",".",".",".",".","6.3",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","","15","3.643","60.0","26.7",".",".",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","","12","3.250","50.0","16.7","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","6","3.500","33.3","33.3",".",".",".","16.7",".",".",".",".",".",".","16.7",".",".","."
"","699
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
