"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","9837","3.232","35.9","15.9","19.1","6.9","7.9","1.9","0.9","8.9","0.0","1.0",".","0.9","0.2","0.1","0.3","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","571","2.880","24.5","15.2","24.3","11.6","14.5","3.3","3.7",".",".","2.5",".",".",".",".","0.4","."
"Sophomore","","1348","3.165","36.5","18.0","20.3","9.1","11.1","2.1","1.3","0.1",".","1.6",".",".","0.1",".",".","."
"Junior","","1963","3.182","35.4","18.8","22.8","8.6","10.6","2.1","0.9","0.1",".","0.4",".",".","0.2","0.1","0.1","."
"Senior","","3759","3.224","37.6","17.6","22.6","8.0","8.7","2.4","1.0","1.5",".",".",".",".","0.1","0.2","0.1","0.0"
"Undergraduates","","7641","3.176","35.9","17.8","22.4","8.6","10.1","2.3","1.2","0.8",".","0.6",".",".","0.1","0.1","0.1","0.0"
"Special","","181","3.413","40.9","10.5","16.6","6.1","3.3","2.2",".","11.6",".","1.7",".",".","0.6","0.6","6.1","."
"Graduate","","1911","3.733","35.1","8.9","6.0","0.5","0.2",".",".","40.9","0.1","2.9",".","4.5","0.3",".","0.6","0.1"
"Prof Yr 1","","88","3.626","53.4","19.3","23.9","2.3",".",".",".",".",".",".",".","1.1",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","15","3.477","33.3","6.7","20.0",".","6.7",".",".","33.3",".",".",".",".",".",".",".","."
"Prof Yr 4","","11","4.000","54.5",".",".",".",".",".",".","36.4",".",".",".","9.1",".",".",".","."
"Professionals","","115","3.622","50.4","15.7","21.7","1.7","0.9",".",".","7.8",".",".",".","1.7",".",".",".","."
"","College Total","9848","3.232","36.0","15.9","19.1","6.9","7.9","1.9","0.9","8.9","0.0","1.0",".","0.9","0.2","0.1","0.3","0.0"
