"","990
073","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
074","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
075","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","42","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"PATH
704","Dept. Total","646","3.409","40.4","21.2","13.8","9.0","3.1","0.9","0.2","6.8","",".","4.0","0.2","",".","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","8","3.125","12.5","37.5","12.5","37.5",".",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","91","3.098","25.3","24.2","15.4","18.7","12.1","3.3",".",".","",".",".",".","",".","1.1",".",".","."
"Senior","","119","3.151","22.7","28.6","20.2","18.5","6.7","1.7","0.8","0.8","",".",".",".","",".",".",".",".","."
"Undergraduates","","218","3.128","23.4","27.1","17.9","19.3","8.7","2.3","0.5","0.5","",".",".",".","",".","0.5",".",".","."
"Special","","15","3.591","66.7","13.3","13.3","6.7",".",".",".",".","",".",".",".","",".",".",".",".","."
"Graduate","","136","3.410","26.5","8.1","12.5","2.9",".",".",".","30.1","",".","19.1","0.7","",".",".",".",".","."
"Prof Yr 1","","120","3.408","29.2","36.7","24.2","8.3","0.8","0.8",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 2","","158","3.928","86.1","11.4","1.3",".",".",".",".",".","",".",".",".","",".","1.3",".",".","."
"Prof Yr 3","","8","3.711","62.5","12.5",".","12.5",".",".",".","12.5","",".",".",".","",".",".",".",".","."
"Prof Yr 4","","8","3.875","62.5","25.0",".",".",".",".",".","12.5","",".",".",".","",".",".",".",".","."
"Professionals","","294","3.657","61.6","22.1","10.5","3.7","0.3","0.3",".","0.7","",".",".",".","",".","0.7",".",".","."
"","Dept. Total","663","3.409","41.9","20.7","13.4","8.7","3.0","0.9","0.2","6.6","",".","3.9","0.2","",".","0.5",".",".","."
