"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","132
003","25","2.980","20.0","16.0","28.0","12.0","24.0",".",".",".",".",".",".",".",".",".",".","."
"","132
004","20","2.921","25.0","10.0","25.0","5.0","25.0","5.0",".",".",".",".",".",".","5.0",".",".","."
"Mathematical Models","Course Total","67","3.008","23.9","10.4","31.3","11.9","19.4","1.5",".",".",".",".",".",".","1.5",".",".","."
"","141
001","96","3.036","26.0","14.6","27.1","17.7","9.4","4.2","1.0",".",".",".",".",".",".",".",".","."
"","002
141","76","3.033","23.7","23.7","13.2","22.4","13.2","3.9",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","172","3.035","25.0","18.6","20.9","19.8","11.0","4.1","0.6",".",".",".",".",".",".",".",".","."
"","210
001","126","2.333","9.5","7.1","24.6","11.9","27.0","12.7","7.1",".",".",".",".",".",".",".",".","."
"","210
002","278","2.886","38.8","5.0","20.5","2.5","18.7","9.4","4.7","0.4",".",".",".",".",".",".",".","."
"","210
003","228","2.656","17.5","8.3","29.8","10.5","21.1","8.3","4.4",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","632","2.693","25.3","6.6","24.7","7.3","21.2","9.7","5.1","0.2",".",".",".",".",".",".",".","."
"","211
001","247","2.433","17.8","5.3","16.2","10.9","35.2","7.3","7.3",".",".",".",".",".",".",".",".","."
"","211
002","150","2.735","22.0","18.0","16.7","14.7","14.0","6.0","8.0",".",".",".",".",".",".",".","0.7","."
"Calculus","Course Total","397","2.547","19.4","10.1","16.4","12.3","27.2","6.8","7.6",".",".",".",".",".",".",".","0.3","."
"Calc/Intro-Differntl Equats","213
001","113","3.376","46.9","8.0","34.5","3.5","4.4","0.9","1.8",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","217
001","220","2.743","20.0","15.5","16.4","17.7","17.7","11.4","1.4",".",".",".",".",".",".",".",".","."
"","221
001","179","2.780","16.2","12.3","21.2","23.5","21.2","2.2","2.2",".",".",".",".",".",".",".","1.1","."
"","221
002","159","2.572","17.6","8.8","23.3","10.1","24.5","11.9","3.8",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","338","2.682","16.9","10.7","22.2","17.2","22.8","6.8","3.0",".",".",".",".",".",".",".","0.6","."
"","222
001","98","2.670","24.5","10.2","16.3","20.4","10.2","10.2","7.1",".",".",".",".",".",".","1.0",".","."
"","222
002","85","2.929","32.9","7.1","22.4","16.5","14.1",".","7.1",".",".",".",".",".",".",".",".","."
"","222
003","242","2.548","18.6","14.9","26.9","5.4","12.4","9.5","12.4",".",".",".",".",".",".",".",".","."
"","222
004","199","2.563","11.1","9.5","24.6","17.6","28.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","624","2.624","19.1","11.4","23.9","13.1","17.3","6.7","8.3",".",".",".",".",".",".","0.2",".","."
"","234
001","149","2.349","15.4","11.4","17.4","7.4","23.5","15.4","9.4",".",".",".",".",".",".",".",".","."
"","234
002","118","2.356","16.9","4.2","19.5","11.0","27.1","12.7","8.5",".",".",".",".",".",".",".",".","."
"","234
003","183","2.783","25.1","13.1","18.0","13.7","14.8","12.6","2.2",".",".",".",".",".","0.5",".",".","."
"Calc--Functns of Variables","Course Total","450","2.527","19.8","10.2","18.2","10.9","20.9","13.6","6.2",".",".",".",".",".","0.2",".",".","."
"Intro to Discrete Mathematics","240
001","29","2.448","6.9","10.3","27.6","17.2","20.7","13.8","3.4",".",".",".",".",".",".",".",".","."
"Topics in Calculus II","276
001","28","3.375","53.6","10.7","21.4",".","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"Directed Study in Math","298
015","36","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
