"","999
013","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
016","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
019","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"DS
359","Dept. Total","871","3.420","38.6","27.4","20.6","7.5","2.6","1.3","0.2","1.6","",".",".","",".","",".","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","45","3.178","20.0","31.1","24.4","17.8","4.4","2.2",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","114","3.217","23.7","34.2","23.7","7.9","6.1","3.5","0.9",".","",".",".","",".","",".",".",".",".","."
"Junior","","182","3.436","35.2","31.9","20.9","10.4","1.1",".","0.5",".","",".",".","",".","",".",".",".",".","."
"Senior","","483","3.455","42.7","25.5","21.1","6.0","2.5","1.2",".","0.8","",".",".","",".","",".","0.2",".",".","."
"Undergraduates","","824","3.400","37.1","28.4","21.6","7.9","2.8","1.3","0.2","0.5","",".",".","",".","",".","0.1",".",".","."
"Special","","5","3.769","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","42","3.912","64.3","7.1","2.4",".",".",".",".","23.8","",".",".","",".","",".",".",".","2.4","."
"","Dept. Total","871","3.420","38.6","27.4","20.6","7.5","2.6","1.3","0.2","1.6","",".",".","",".","",".","0.1",".","0.1","."
