"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"200
Biol&Apprec-Companion Anmls","001","","150","2.715","15.3","18.7","18.0","19.3","16.7","7.3","4.0","0.7",".",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","18","3.313","16.7","38.9","16.7","16.7",".",".",".","5.6",".",".",".",".",".",".",".","5.6"
"289
Honors Independent Study","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","37","2.676","21.6","8.1","13.5","13.5","35.1","8.1",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","52","3.029","25.0","23.1","23.1","13.5","5.8","7.7","1.9",".",".",".",".",".",".",".",".","."
"313","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"313","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","39","3.090","38.5","7.7","30.8",".","12.8","10.3",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","24","3.083","25.0","12.5","29.2","20.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","18","3.000","33.3","16.7","16.7","5.6","22.2",".","5.6",".",".",".",".",".",".",".",".","."
"375","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","25.0","."
"375","005","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"375","009","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","57","3.976","91.2","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"404
Vertebrate Physiology","001","","7","3.143","28.6","28.6",".","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Sheep Production","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"521
Birds of Southern Wisconsin","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
