"JEWISH STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","",""
"Topics in Jewish Studies","202","001","","10","3.889","80.0",".","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","14","3.286","21.4","28.6","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Jewish Lit: Greco-Roman Period","346","001","","11","3.278","27.3","9.1","27.3","18.2",".",".",".","18.2",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","","7","3.417","42.9","14.3","14.3",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"","371","001","","9","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","371","002","","11","3.600","36.4","36.4","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","371","003","","11","3.591","45.5","45.5",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","","Course Total","","31","3.655","48.4","32.3","9.7",".","3.2",".",".","6.5",".",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","","16","3.759","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","377","001","","29","3.393","24.1","41.4","24.1",".","6.9",".",".","3.4",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","402","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E Europe Jews in US,1880-1930s","416","001","","19","3.346","36.8","21.1","26.3",".",".",".","5.3","10.5",".",".",".",".",".",".",".","."
"Undergrad Smr in Judaism&Arts","450","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Jewish Studies","","Course Total","","10","3.150","50.0","30.0",".",".",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","534","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Politics and Society","665","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
