"","990
041","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
061","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","23","",".",".",".",".",".",".",".","87.0","4.3",".",".","4.3","",".",".","4.3","."
"AN SCI
604","Dept. Total","509","3.036","38.7","14.3","14.1","10.2","10.6","4.5","1.6","4.5","0.2",".",".","0.2","",".",".","0.8","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","2.560","19.0","17.2","19.0","13.8","15.5","8.6","6.9",".",".",".",".",".","",".",".",".","."
"Sophomore","","75","3.098","38.7","18.7","12.0","14.7","10.7","2.7","1.3","1.3",".",".",".",".","",".",".",".","."
"Junior","","134","3.063","33.6","20.1","20.1","13.4","7.5","3.7","1.5",".",".",".",".",".","",".",".",".","."
"Senior","","174","3.060","45.4","10.3","12.6","8.0","15.5","6.3","0.6","0.6",".",".",".",".","",".",".",".","0.6"
"Undergraduates","","441","2.998","37.2","15.6","15.6","11.6","12.2","5.2","1.8","0.5",".",".",".",".","",".",".",".","0.2"
"Special","","19","3.667","63.2",".","10.5","5.3",".",".",".","5.3",".",".",".",".","",".",".","15.8","."
"Graduate","","59","3.879","50.8","6.8","5.1",".",".",".",".","32.2","1.7",".",".","1.7","",".",".","1.7","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"","Dept. Total","520","3.036","39.6","14.0","14.2","10.0","10.4","4.4","1.5","4.4","0.2",".",".","0.2","",".",".","0.8","0.2"
