"","990
011","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
014","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
040","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","854","3.108","32.2","12.6","25.9","5.5","10.0","3.3","1.9","8.4","0.1","0.1","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","87","2.674","18.4","2.3","27.6","8.0","27.6","3.4","3.4","9.2",".",".","",".","",".","",".",".",".","."
"Sophomore","","269","2.958","19.7","7.8","37.2","3.7","15.2","3.3","1.1","11.5","0.4",".","",".","",".","",".",".",".","."
"Junior","","180","3.092","32.8","17.2","23.9","7.8","4.4","5.0","2.2","6.7",".",".","",".","",".","",".",".",".","."
"Senior","","237","3.339","49.8","17.3","16.0","6.3","4.6","2.1","2.5","1.3",".",".","",".","",".","",".",".",".","."
"Undergraduates","","773","3.073","31.8","12.3","26.5","6.0","10.9","3.4","2.1","7.0","0.1",".","",".","",".","",".",".",".","."
"Special","","5","2.300","20.0",".","20.0","20.0",".","40.0",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","76","3.588","36.8","17.1","19.7",".","1.3",".",".","23.7",".","1.3","",".","",".","",".",".",".","."
"","Dept. Total","854","3.108","32.2","12.6","25.9","5.5","10.0","3.3","1.9","8.4","0.1","0.1","",".","",".","",".",".",".","."
