"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Feedback Control Systems","332
001","","42","2.619","9.5","16.7","28.6","16.7","16.7","4.8","7.1",".",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","","26","3.220","23.1","19.2","42.3","7.7",".","3.8",".","3.8",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","","35","2.657","5.7","11.4","28.6","34.3","14.3","2.9","2.9",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","","38","3.176","26.3","31.6","15.8","7.9","10.5","5.3",".",".",".",".",".",".",".",".","2.6","."
"Electronic Circuits II","342
001","","46","2.739","13.0","15.2","21.7","19.6","23.9","6.5",".",".",".",".",".",".",".",".",".","."
"","351
001","","12","3.542","50.0","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","351
003","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
007","","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","","52","3.635","48.1","36.5","11.5","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","352
001","","26","2.481","19.2","11.5","11.5","15.4","23.1","11.5","7.7",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","","25","2.920","16.0","16.0","36.0","16.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
001","","19","3.158","36.8",".","36.8","21.1",".","5.3",".",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","355
001","","19","2.842","26.3","15.8","15.8","15.8","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","370
001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","33","3.894","81.8","15.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","","123","3.146","16.3","26.0","39.0","8.1","10.6",".",".",".",".",".",".",".",".",".",".","."
"","377
001","","51","2.559","11.8","17.6","15.7","15.7","23.5","13.7","2.0",".",".",".",".",".",".",".",".","."
"","377
002","","29","2.845","24.1","13.8","13.8","24.1","13.8","10.3",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","","80","2.663","16.3","16.3","15.0","18.8","20.0","12.5","1.3",".",".",".",".",".",".",".",".","."
"","399
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.848","75.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","39","3.205","46.2",".","35.9",".","10.3","7.7",".",".",".",".",".",".",".",".",".","."
"","002
412","","7","3.000","42.9",".","28.6",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","412
003","","10","3.167","30.0",".","20.0",".",".","10.0",".","10.0",".",".",".",".","30.0",".",".","."
"","412
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","","59","3.182","44.1",".","30.5",".","10.2","8.5",".","1.7",".",".",".",".","5.1",".",".","."
"Sys Modelng, Ident&Simulatn","415
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420
001","","15","3.200","53.3","13.3","6.7","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"Digital Signl Processng Lab","432
001","","17","3.588","52.9","17.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Photonics","434
001","","22","3.045","27.3","18.2","31.8",".","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"Communication Systems II","437
001","","10","3.250","20.0","40.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Microwave-Devices&Applicatn","444
001","","9","2.833","11.1","22.2","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","445
001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 112 of 403",""
