"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"260
History of Landscape Arch","001","","64","2.683","10.9","6.3","26.6","18.8","28.1","3.1",".","4.7",".",".",".",".","1.6",".",".","."
"262
Landscape Invntry&Eval Meth","001","","47","3.106","23.4","25.5","29.8","8.5","6.4","4.3","2.1",".",".",".",".",".",".",".",".","."
"270
Land Arc Workshop","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299
Independent Studies","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"312","001","","21","3.333","14.3","42.9","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"312","002","","21","3.048","9.5","57.1","19.0",".","4.8",".","9.5",".",".",".",".",".",".",".",".","."
"Graphics for Designers","Course Total","","42","3.190","11.9","50.0","28.6","2.4","2.4",".","4.8",".",".",".",".",".",".",".",".","."
"351
Housing and Urban Design","001","","22","3.568","45.5","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"353
Landscape Arch Technology I","001","","24","3.292","12.5","45.8","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"356
Sustainabl Residntl Constructn","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Wetlands Ecology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","002","","7","3.667","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"451
Open Space Planning&Design","001","","22","3.250","27.3","27.3","22.7","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"463
Evolution-American Planning","001","","15","3.615","40.0","33.3","6.7","6.7",".",".",".",".",".",".",".",".","13.3",".",".","."
"551
Senior Project in Land Arc","001","","18","3.278","22.2","27.8","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"565
Principles-Landscape Ecology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","18","2.778","11.1",".","55.6","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","","3","***","","","","","","","","","","","","","","","",""
"720
Crit Inquiry-Landscape Dsgn","001","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Research in Landscape Arch","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"866
Nat Plnt Comm Restoratn&Mgt","001","","10","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","15","",".",".",".",".",".",".",".","73.3",".",".",".","20.0",".",".","6.7","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","4","***","","","","","","","","","","","","","","","",""
