"EDU","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"Design Education","326
001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Stdt Tchg-Elem School Art","423
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art-Exceptional Education","570
001","","19","3.861","73.7","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"Independent Reading & Rsch","699
061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","951
001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Adv Independent Reading","999
059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","","71","3.967","87.3","5.6","1.4",".",".",".",".","1.4",".",".",".",".","2.8",".","1.4","."
