"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","",""
"","300
001","","34","3.588","50.0","26.5","14.7","8.8",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"","300
002","","19","3.333","57.9","5.3","10.5","5.3","5.3","10.5",".","",".",".","",".",".","",".","",".","","5.3",".","."
"","300
003","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Humanities Topics in EAS","Course Total","","54","3.491","51.9","18.5","14.8","7.4","1.9","3.7","",".",".","",".",".","",".","",".","",".","1.9",".","."
"Social Studies Topics in EAS","301
001","","28","3.981","92.9","3.6",".",".",".",".",".","","3.6",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
002","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"E A STDS
298","Dept. Total","","83","3.659","66.3","13.3","9.6","4.8","1.2","2.4","",".","1.2","",".",".","",".","",".","",".","1.2",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","11","3.300","45.5","9.1","18.2","9.1",".","9.1","",".",".","",".",".","",".","",".","",".","9.1",".","."
"Sophomore","","","14","3.571","57.1","21.4","7.1","7.1","7.1",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","22","3.815","77.3","13.6","4.5","4.5",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","32","3.661","65.6","12.5","12.5","3.1",".","3.1","",".","3.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","79","3.641","64.6","13.9","10.1","5.1","1.3","2.5","",".","1.3","",".",".","",".","",".","",".","1.3",".","."
"Graduate","","","4","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","83","3.659","66.3","13.3","9.6","4.8","1.2","2.4","",".","1.2","",".",".","",".","",".","",".","1.2",".","."
