"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"504
Modeling Animal Landscapes","001","","21","3.711","90.5",".",".",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"510
Ecology of Fishes","001","","55","2.934","27.3","7.3","32.7","1.8","20.0","5.5","1.8","3.6",".",".",".",".",".",".",".","."
"511","001","","18","3.333","38.9","16.7","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"511","002","","15","3.233","20.0","26.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","33","3.288","30.3","21.2","30.3","12.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","96","3.089","29.2","12.5","36.5","5.2","9.4","4.2","2.1","1.0",".",".",".",".",".",".",".","."
"521","001","","16","3.531","62.5",".","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"521","002","","12","3.208","50.0",".","16.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"521","003","","17","3.235","47.1","11.8","23.5",".","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"521","004","","10","3.450","60.0","10.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","55","3.355","54.5","5.5","21.8","3.6","10.9","1.8","1.8",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","47","3.309","42.6","14.9","27.7",".","10.6","4.3",".",".",".",".",".",".",".",".",".","."
"530
Insect Behavior","001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"550
Animal Comm & Orig of Lang","001","","10","3.050","30.0","10.0","50.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"565
Principles-Landscape Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Laboratory in Cell Biology","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Comparatv&Evolutionry Physiol","001","","72","3.152","22.2","26.4","26.4","12.5","11.1","1.4",".",".",".",".",".",".",".",".",".","."
"612
Comparative Physiology Lab","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Development of Nervous Sys","001","","40","3.313","45.0","5.0","32.5","7.5","7.5","2.5",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","11","3.500","54.5","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"677
Internship in Ecology","001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"680
Honors Seminar","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","13","3.821","84.6","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"692","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"698
Directed Study","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 320 of 403",""
