"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MED SC-V","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","4","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Sophomore","6","4.000","16.7",".",".",".",".",".","",".","83.3","",".",".","",".","",".",".",".",".","."
"Junior","12","3.900","25.0","8.3",".",".",".",".","",".","66.7","",".",".","",".","",".",".",".",".","."
"Senior","8","3.667","25.0",".","12.5",".",".",".","",".","62.5","",".",".","",".","",".",".",".",".","."
"Undergraduates","30","3.833","20.0","3.3","3.3",".",".",".","",".","73.3","",".",".","",".","",".",".",".",".","."
"Special","10","4.000","10.0",".",".",".",".",".","",".","90.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","254","3.471","16.1","9.4","13.0","1.6","0.8",".","",".","57.5","",".",".","",".","",".","1.6",".",".","."
"Prof Yr 2","83","4.000","8.4",".",".",".",".",".","",".","89.2","",".",".","",".","",".","2.4",".",".","."
"Prof Yr 3","345","3.330","26.4","4.3","11.3","1.2","1.2","0.3","",".","55.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","461","4.000","46.9",".",".",".",".",".","",".","53.1","",".",".","",".","",".",".",".",".","."
"Professionals","1143","3.600","31.1","3.4","6.3","0.7","0.5","0.1","",".","57.4","",".",".","",".","",".","0.5",".",".","."
