"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","47","3.723","59.6","25.5","14.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","006","","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","007","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","008","","34","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","009","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","011","","49","3.980","95.9","4.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","343","3.969","92.7","5.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","193","2.868","18.1","18.7","16.6","22.8","16.6","4.7","1.0","1.0",".",".",".",".",".",".",".","0.5"
"545","001","","12","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"545","002","","12","3.375","41.7","8.3","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","Course Total","","24","3.396","37.5","12.5","45.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","32","3.365","28.1","28.1","34.4","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"566
Advanced Genetics","001","","82","3.122","24.4","13.4","42.7","8.5","8.5","1.2","1.2",".",".",".",".",".",".",".",".","."
"655
Biol & Genetics-Filament Fungi","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"677
Advanced Topics in Genetics","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 24 of 403"
