"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"Independent Reading","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".",".","."
"725
Career Couns & Job Placemnt","001","","19","3.917","84.2","5.3","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"802
Spec St-Indiv w/Disablties","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Issues-Special Educ","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Rehab Cnslg Psy-Theor & Iss","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Rehab Cnslg Psych-Grp Proc","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Sup Prac 1","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Rehab Cnsl Psych-Sup Prac 2","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Rehab Cnsl Psych-Sup Prac 3","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"902
Indv/Disblty:Educ&Soc Iss","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Rehab Cnsl Psych-Internship","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Cnsl Supvn","Course Total","","4","***","","","","","","","","","","","","","","","",""
"921
Internship: Adv Prof Pract","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","5","***","","","","","","","","","","","","","","","",""
"940
Rehab Cnsl Psych-Supv Rsch","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941
Internship: Research","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"983
Smr:Profsnl Issues-RehabPsy","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"985
Indv/Disblty:Adv Rsch Mthds","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","19","",".",".",".",".",".",".",".","84.2",".",".",".","15.8",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 76 of 403"
