"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","551
001","","39","3.667","46.2","41.0","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","","62","3.694","48.4","41.9","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","561
001","","28","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001","","37","3.676","51.4","37.8","8.1",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","571
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","Course Total","","52","3.769","65.4","26.9","5.8",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","622
001","","27","3.731","55.6","29.6","11.1",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"","629
001","","69","3.368","49.3","21.7","7.2","10.1","4.3","2.9","2.9",".","1.4",".",".",".",".",".",".","."
"","629
002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","Course Total","","80","3.436","52.5","21.3","6.3","8.8","3.8","2.5","2.5",".","1.3",".",".",".",".",".",".","1.3"
"Young Adult Literature","631
001","","27","3.920","81.5","7.4","3.7",".",".",".",".",".","3.7",".",".",".",".",".","3.7","."
"","642
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
002","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","642
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Interests of Adults","Course Total","","35","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","","29","3.707","48.3","48.3",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cyberlaw","663
001","","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","710
001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","712
001","","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","751
001","","21","3.900","81.0","9.5","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","772
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","772
002","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","772
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","Course Total","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Rsch Meths-L I S","810
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archive Accessioning&Appraisal","818
001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825
001","","22","3.690","54.5","27.3","9.1","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in User Services","847
001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","855
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
001","","33","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 249 of 403",""
