"TERM : 1074","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2006-2007","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","",""
"ANIMAL HEALTH & BIOMEDICAL  Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","",""
"AHABS
Dept. Total
952","113","3.039","23.0","5.3","10.6","2.7","9.7","1.8","",".","42.5","",".",".","",".","4.4","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","3.833","50.0","50.0",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","9","2.200","11.1",".","11.1","22.2","44.4","11.1","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","21","2.852","33.3","9.5","19.0",".","33.3","4.8","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","32","2.689","28.1","9.4","15.6","6.3","34.4","6.3","",".",".","",".",".","",".",".","",".",".",".","."
"Special","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","76","3.472","17.1","3.9","9.2","1.3",".",".","",".","61.8","",".",".","",".","6.6","",".",".",".","."
"Prof Yr 2","1","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","2","4.000","50.0",".",".",".",".",".","",".","50.0","",".",".","",".",".","",".",".",".","."
"Dept. Total","113","3.039","23.0","5.3","10.6","2.7","9.7","1.8","",".","42.5","",".",".","",".","4.4","",".",".",".","."
