"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","23","2.978","8.7","43.5","13.0","21.7","4.3","8.7",".",".",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","179","3.670","58.1","24.6","11.2","2.2","1.7",".","0.6","1.7",".",".",".",".",".",".",".","."
"","199","007","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","020","20","3.727","75.0","5.0","10.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","199","021","8","3.556","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","56","3.852","85.7","3.6","5.4",".","3.6",".",".","1.8",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","62","3.333","33.9","32.3","16.1","6.5","3.2","3.2","1.6","1.6",".",".",".",".","1.6",".",".","."
"Intro to Afro-Am History","231","001","90","3.244","22.2","35.6","21.1","4.4","3.3","1.1","3.3","8.9",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","120","3.187","20.8","30.0","28.3","5.8","6.7","4.2",".","4.2",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","18","3.194","33.3","27.8","16.7","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","34","3.297","26.5","29.4","29.4","2.9","2.9",".","2.9","5.9",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","47","3.141","21.3","25.5","31.9","10.6","2.1","6.4",".","2.1",".",".",".",".",".",".",".","."
"Black Women in America","324","001","19","3.278","15.8","31.6","42.1",".","5.3",".",".",".",".",".",".",".",".","5.3",".","."
"Afr/Afroam Hist Rel-1700 on","330","001","13","3.500","7.7","76.9","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Discrimntn&Prejudice-Am Soc","442","001","76","3.133","27.6","25.0","22.4","11.8","6.6","1.3","3.9","1.3",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521","001","7","3.583","42.9","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Race, Amer Med & Pub Health","523","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Art of Afro-Am Women in US","540","001","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"History of African-Amer Educ","567","001","15","3.433","33.3","53.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","11","2.636","9.1","18.2","18.2",".","54.5",".",".",".",".",".",".",".",".",".",".","."
"The Harlem Renaissance","602","001","18","3.176","38.9","16.7","22.2","5.6",".","5.6","5.6",".",".",".",".",".","5.6",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","15","3.333","60.0",".","6.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"Afr Am Women's Activism 19-20C","624","001","18","3.361","27.8","38.9","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","12","2.909","25.0","8.3","16.7","8.3","33.3",".",".","8.3",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673","001","11","3.500","63.6","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","8","3.761","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","13","3.434","53.8","15.4","15.4",".",".",".","7.7",".",".",".",".",".","7.7",".",".","."
"","790","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".","14.3","."
