"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","350
001","103","3.175","27.2","20.4","29.1","10.7","10.7","1.9",".",".",".",".",".",".",".",".",".","."
"","350
002","103","3.238","21.4","34.0","27.2","9.7","5.8","1.9",".",".",".",".",".",".",".",".",".","."
"","350
003","102","3.039","13.7","23.5","33.3","17.6","10.8","1.0",".",".",".",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","308","3.151","20.8","26.0","29.9","12.7","9.1","1.6",".",".",".",".",".",".",".",".",".","."
"","365
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","4","***","","","","","","","","","","","","","","","",""
"Operations Research II","411
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Logistics Strategies","646
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Planning&Control","654
001","31","3.919","90.3","6.5",".","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","58","3.517","34.5","34.5","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","60","3.508","33.3","35.0","31.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
700","7","2.929",".","14.3","71.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","700
030","43","3.547","37.2","34.9","27.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","168","3.497","33.3","33.9","32.1",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","711
001","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","86","3.453","32.6","32.6","30.2","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","732
030","47","3.532","40.4","29.8","25.5","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","133","3.481","35.3","31.6","28.6","3.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","765
001","7","3.286",".","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770
001","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","4","***","","","","","","","","","","","","","","","",""
"Plan-Qual/New Servc&Prodct","860
001","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Smr-Operations & Tech Mgmt","875
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
121","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
