"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","",""
"","299
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Practicum-Fam & Consumer Educ","330
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","16","3.375","37.5","25.0","31.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","375
004","","14","3.179","50.0",".","28.6","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","49","3.480","57.1","12.2","20.4","2.0","4.1","2.0","2.0",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","427
001","","22","3.341","63.6",".","13.6","4.5","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"","427
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Meths-Teachng Fam & Consumr","Course Total","","23","3.326","60.9",".","17.4","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"","501
001","","17","3.265","41.2","29.4","17.6",".",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"","501
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","3.373","47.8","30.4","13.0",".",".","4.3","4.3",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Org&Oper-Educ for Work Progrms","661
001","","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","699
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Research Methods","793
001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTER-HE
498","Dept. Total","","126","3.507","59.5","13.5","16.7","1.6","4.8","1.6","2.4",".",".",".",".",".",".",".",".","."
