"LINGUISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"101
Human Language","001","","269","3.295","38.7","25.3","14.9","11.2","4.8","3.0","1.9","0.4",".",".",".",".",".",".",".","."
"103
Language, History, and Society","001","","10","3.150","30.0","50.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"301","001","","59","3.390","40.7","37.3","3.4","10.2","3.4","3.4","1.7",".",".",".",".",".",".",".",".","."
"301","002","","15","3.433","33.3","40.0","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","Course Total","","74","3.399","39.2","37.8","4.1","12.2","2.7","2.7","1.4",".",".",".",".",".",".",".",".","."
"303
Language, History, and Society","001","","22","3.636","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"322
Morphology","001","","26","3.692","69.2","15.4","3.8","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"330
Syntax","001","","24","3.326","37.5","8.3","29.2","20.8",".",".",".","4.2",".",".",".",".",".",".",".","."
"340
Semantics","001","","19","3.395","47.4","5.3","36.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"365
Language, Race, and Identity","001","","86","3.238","22.1","29.1","25.6","15.1","5.8",".",".","2.3",".",".",".",".",".",".",".","."
"373","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"373","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","Course Total","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"426
Field Methods I","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"482","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"482","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"482","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"482","036","","20","3.400","30.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Tutorial","Course Total","","28","3.554","46.4","32.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"510
Phonological Theories","001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Syntactic Theories","001","","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"584
Senior Honors Tutorial","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"977
Seminar","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999
Independent Reading","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
