"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","",""
"International Business","200
001","230","2.983","12.6","20.9","32.6","20.9","12.2","0.4","0.4",".",".",".",".",".",".",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
000B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","4","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","5","***","","","","","","","","","","","","","","","",""
"","399
000A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
222","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Intl Bus","Course Total","59","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","11","3.318","9.1","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"International Real Estate","730
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","9","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTL BUS
235","Dept. Total","335","3.145","32.2","19.4","23.9","15.2","8.7","0.3","0.3",".",".",".",".",".",".",".",".","."
