"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","4","3.909","75.0","25.0",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","4","3.882","75.0","25.0",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","10","3.906","80.0","20.0",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","14","3.917","85.7","14.3",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","70","3.640","38.6","47.1","11.4","",".","",".","",".","",".","1.4","",".",".","",".","",".","",".",".","1.4","."
"Prof Yr 4","","11","3.707","45.5","45.5","9.1","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","81","3.646","39.5","46.9","11.1","",".","",".","",".","",".","1.2","",".",".","",".","",".","",".",".","1.2","."
