"","575
006","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","575
007","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clinical Lab Science Practicum","Course Total","21","3.962","95.2","4.8",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Current Issues Seminar","640
001","21","3.976","95.2","4.8",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
628","Dept. Total","233","3.540","50.2","21.9","24.5","2.1","1.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","3.500","30.0","40.0","30.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","29","3.331","24.1","27.6","37.9","6.9","3.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","194","3.572","55.2","20.1","22.2","1.5","1.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","233","3.540","50.2","21.9","24.5","2.1","1.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","233","3.540","50.2","21.9","24.5","2.1","1.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
