"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","223","3.100","17.9","27.4","26.5","14.8","9.0","2.7",".","1.3",".",".",".",".",".",".","0.4","."
"Real Estate Law","312
001","44","3.302","25.0","13.6","54.5","4.5",".",".",".","2.3",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","18","3.324","33.3","16.7","27.8","11.1","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"","410
002","35","2.886","11.4","14.3","37.1","25.7","8.6",".","2.9",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","53","3.029","18.9","15.1","34.0","20.8","7.5",".","1.9",".",".",".",".",".","1.9",".",".","."
"Valuation of Real Estate","415
001","49","3.541","38.8","38.8","20.4",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","33","3.424","36.4","27.3","27.3","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","73","3.959","91.8","8.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Appl-Real Estate Anal","631
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","730
001","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","17","3.559","41.2","41.2","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","16","3.344","31.3","18.8","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Real Est Finance Theory","870
001","12","3.643","16.7","41.7",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
151","2","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","592","3.385","38.9","23.0","21.8","8.3","4.6","1.2","0.2","1.9",".",".",".",".","0.2",".","0.2","."
