"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","272","3.631","65.4","13.2","14.0","2.2","1.8","2.6","0.4","0.4",".",".",".",".",".",".",".","."
"201
Speech Science","001","","71","3.577","63.4","15.5","8.5","7.0","2.8","1.4","1.4",".",".",".",".",".",".",".",".","."
"210
Speech & Lang Functs-Brain","001","","79","3.799","73.4","16.5","6.3",".",".",".","1.3","1.3",".",".",".",".",".",".","1.3","."
"240
Lang Devlp-Chld & Adolescnt","001","","116","3.052","37.1","14.7","17.2","9.5","12.9","4.3","4.3",".",".",".",".",".",".",".",".","."
"318
Speech Pathology II","001","","44","3.205","11.4","31.8","43.2","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"320
Introduction to Audiology","001","","74","3.682","71.6","10.8","8.1","4.1","4.1","1.4",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Auditory Rehabilitation","001","","42","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"434
Manual Coded English-SL II","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","65","3.438","30.8","38.5","27.7",".","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","7","3.333",".","71.4",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","3.778","50.0","27.8","5.6","5.6",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"704
Lang&Cogntv-Com Dis in Adults","001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"705
Motor Speech Disord/Communictn","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Mgt&Assessmt-Voice Disorder","001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Lang Probs-Schl Age Chldrn","001","","28","3.911","85.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","12","3.844","83.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"790","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","41","3.933","92.7","4.9",".",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","011","","24","3.959","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
