"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","",""
"Contemp Fem Theatre&Critcsm","415","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424","001","","16","3.533","43.8","18.8","25.0","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"History of Theatres&Staging","431","001","","13","2.962","23.1","38.5","23.1",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"Musical Performnc for Actor","440","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance Repertory","453","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thtr-Yng Audiences:Productn","462","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Technology Topics","464","001","","11","3.342","36.4","18.2","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamntl-Technical Directn","470","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Properties","471","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scenic Painting","472","001","","14","3.571","50.0","14.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama of Europe: 1650-1850","521","001","","18","3.433","27.8","22.2","27.8","5.6",".",".",".","11.1",".",".",".",".","5.6",".",".","."
"Amer Drama&Theatre to 1900","534","001","","22","2.810","22.7","27.3","13.6","9.1","9.1",".","13.6","4.5",".",".",".",".",".",".",".","."
"Adv Theatre-Cultrl&Soc Aware","557","001","","8","3.000","37.5","12.5","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561","001","","56","3.818","85.7","5.4","3.6",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"Costume Design II","563","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directing Lab","568","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Practices","571","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Concepts Stage Management","579","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","003","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","004","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","","Course Total","","25","3.880","84.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","21","3.864","90.5",".",".",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Voice Training","740","001","","12","3.458","66.7","8.3","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Graduate Stage Movement","742","001","","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Graduate Acting","750","001","","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Costume Design III","763","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
