"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","328","002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to the Syntax of English","329","001","","12","3.625","50.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","331","001","","34","3.103","8.8","26.5","50.0","11.8",".","2.9",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","332","001","","34","3.864","76.5","14.7","5.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","003","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","004","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","005","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","006","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"TESOL Workshops","","Course Total","","73","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","338","001","","27","3.352","29.6","25.9","33.3","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","338","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-English Lang & Linguis","","Course Total","","32","3.344","31.3","25.0","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Beowulf","359","001","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","362","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","002","","23","3.348","26.1","43.5","26.1",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","","Course Total","","28","3.464","39.3","35.7","21.4",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","23","3.674","52.2","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme in 16th C Eng Lit","402","001","","28","3.464","67.9","10.7","7.1","3.6","3.6",".","7.1",".",".",".",".",".",".",".",".","."
"Outstnd Figures-18c Eng Lit","441","001","","29","3.625","58.6","24.1","3.4","6.9",".","3.4",".",".",".",".",".",".",".",".",".","3.4"
"Theme in 18th C Eng Lit","442","001","","36","3.028","13.9","22.2","30.6","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","31","3.567","58.1","12.9","12.9","6.5","6.5",".",".",".",".",".",".",".",".","3.2",".","."
"Theme in 19th C Eng Lit","468","001","","23","3.295","34.8","30.4","21.7",".",".","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"Victorian Poetry","473","001","","18","3.639","61.1","11.1","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","482","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","001","","24","3.188","29.2","33.3","12.5","12.5","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"James Joyce","503","001","","26","3.077","26.9","30.8","19.2","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Select Major Modern Amer Poets","509","001","","30","3.414","36.7","26.7","20.0","6.7","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"","516","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","516","008","","38","3.750","57.9","34.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in 20C Lit in English","","Course Total","","39","3.705","56.4","33.3","7.7",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524","001","","26","3.604","53.8","11.5","19.2","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","","20","3.250","35.0","30.0","15.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595","001","","15","3.536","33.3","33.3","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Lit of the Amer Renaissance","618","001","","35","3.324","17.1","45.7","31.4",".",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 203 of 403",""
