"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Construction Systems","290","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","42","3.158","11.9","11.9","7.1","7.1","7.1",".",".","52.4","2.4",".",".",".",".",".",".","."
"Independent Study","299","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","61","2.770","6.6","11.5","37.7","24.6","16.4","3.3",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","41","2.720","12.2","4.9","36.6","22.0","19.5","2.4","2.4",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","55","3.102","47.3","1.8","21.8",".","20.0","3.6","3.6","1.8",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","38","2.513","5.3","15.8","15.8","23.7","31.6","5.3","2.6",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrl-Constructd Facilities","395","001","","62","3.331","27.4","27.4","33.9","6.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","11","3.500","45.5","9.1","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","428","001","","14","3.321","35.7","35.7","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","47","2.804","14.9","10.6","31.9","14.9","21.3","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","41","3.549","41.5","34.1","17.1","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","498","001","","59","3.645","50.8","32.2","6.8",".","1.7",".","1.7","1.7",".",".",".",".","5.1",".",".","."
"","498","002","","21","3.429","47.6","23.8","19.0","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","","80","3.586","50.0","30.0","10.0","1.3","1.3",".","2.5","1.3",".",".",".",".","3.8",".",".","."
"Environmental Organic Chem","502","001","","8","3.800","37.5","25.0",".",".",".",".",".","25.0",".",".",".",".","12.5",".",".","."
"Hazardous Waste Management","522","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations","532","001","","8","3.214","25.0","12.5","37.5",".","12.5",".",".","12.5",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","","18","3.306","33.3","5.6","55.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","19","3.500","42.1","15.8","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","37","3.378","27.0","21.6","51.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pln/Dsgn/Cnstrctn Integratn","595","001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","001","","21","3.675","47.6","33.3","14.3",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","596","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructability Analysis","","Course Total","","26","3.640","46.2","30.8","19.2",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Spec Topics-Water Chemistry","609","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Hydrology","619","001","","12","3.591","33.3","41.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","629","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","629","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Envir Engr","","Course Total","","6","3.800","66.7",".","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Waste Geotechnics","633","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","639","001","","9","3.786","44.4","33.3",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","639","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Geotechnical Engr","","Course Total","","10","3.786","40.0","30.0",".",".",".",".",".","20.0",".",".",".",".","10.0",".",".","."
"Specl Topic-Structural Engr","649","001","","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
