"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","292","2.596","9.9","16.1","19.9","13.0","29.5","7.2","2.4","2.1",".",".",".",".",".",".",".","."
"","102
001","19","3.944","89.5",".","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","102
002","12","4.000","58.3",".",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","31","3.960","77.4",".","3.2",".",".",".",".","19.4",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","111
001","17","4.000","88.2",".",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","125
001","18","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","125
002","18","4.000","5.6",".",".",".",".",".",".","72.2",".",".",".",".",".",".","22.2","."
"","125
003","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".","6.3","."
"","125
004","17","4.000","11.8",".",".",".",".",".",".","70.6",".",".",".",".",".",".","17.6","."
"","125
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","Course Total","73","4.000","6.8",".",".",".",".",".",".","82.2",".",".",".",".",".",".","11.0","."
"","127
001","22","3.583","13.6","36.4","4.5",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","127
002","18","3.567","22.2","50.0","11.1",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","127
003","20","3.737","50.0","40.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","127
004","21","3.750","52.4","9.5","14.3",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Bowling I","Course Total","81","3.669","34.6","33.3","8.6",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"","129
001","26","3.528","26.9","19.2","23.1",".",".",".",".","26.9",".",".",".",".",".","3.8",".","."
"","129
002","17","3.700","47.1","29.4","11.8",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","129
003","22","3.667","50.0","9.1","22.7",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","65","3.627","40.0","18.5","20.0",".",".",".",".","20.0",".",".",".",".",".","1.5",".","."
"","130
001","21","3.633","28.6","33.3","9.5",".",".",".",".","19.0","9.5",".",".",".",".",".",".","."
"","130
002","26","3.442","65.4","7.7","11.5","3.8","3.8","3.8","3.8",".",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","47","3.512","48.9","19.1","10.6","2.1","2.1","2.1","2.1","8.5","4.3",".",".",".",".",".",".","."
"","131
002","22","3.467","18.2","31.8","13.6","4.5",".",".",".","31.8",".",".",".",".",".",".",".","."
"","131
003","11","3.167","9.1","36.4",".",".",".","9.1",".","36.4",".",".",".",".",".","9.1",".","."
"","131
004","21","3.639","38.1","33.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","54","3.500","24.1","33.3","11.1","1.9",".","1.9",".","25.9",".",".",".",".",".","1.9",".","."
"","132
001","17","3.536","41.2","23.5","5.9","5.9","5.9",".",".","17.6",".",".",".",".",".",".",".","."
"","132
002","7","3.625","14.3","42.9",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","132
003","22","3.412","31.8","18.2","18.2",".","9.1",".",".","22.7",".",".",".",".",".",".",".","."
"","132
004","18","3.688","38.9","44.4","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","132
005","18","3.467","27.8","22.2","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","132
006","17","3.964","76.5","5.9",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","132
007","15","3.889","46.7","13.3",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","132
008","19","3.571","47.4","21.1",".",".",".",".","5.3","26.3",".",".",".",".",".",".",".","."
"","132
009","16","3.556","25.0","12.5","18.8",".",".",".",".","37.5","6.3",".",".",".",".",".",".","."
"","132
010","12","3.682","50.0","25.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Weight Training","Course Total","161","3.626","41.0","21.7","10.6","0.6","1.9",".","0.6","23.0","0.6",".",".",".",".",".",".","."
"","133
001","16","3.667","37.5","31.3",".","6.3",".",".",".","25.0",".",".",".",".",".",".",".","."
"","133
002","21","3.450","14.3","14.3","19.0",".",".",".",".","52.4",".",".",".",".",".",".",".","."
"","133
003","27","3.457","33.3","33.3","7.4",".","11.1",".",".","14.8",".",".",".",".",".",".",".","."
"","133
004","26","3.658","50.0","11.5","3.8",".","7.7",".",".","26.9",".",".",".",".",".",".",".","."
"","133
005","21","3.850","66.7","28.6",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","111","3.625","40.5","23.4","6.3","0.9","4.5",".",".","24.3",".",".",".",".",".",".",".","."
