"FAM & CONSUMER COMMUNICA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","","",""
"","100","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","100","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","100","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","100","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","","Course Total","","9","3.278","44.4","33.3","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340","001","","9","3.375",".","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Information Radio","360","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Web Design for the Sciences","532","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","","Dept. Total","","39","3.661","59.0","25.6","10.3",".",".",".","2.6","2.6",".",".",".",".",".",".",".","."
