"BUS","","","","","","","","","","","","","","","","","","","",""
"TRANSPORTATION AND PUBLIC  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","",""
"325","001","","7","3.700","42.9","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".","14.3",".","."
"325","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","","9","3.071","33.3","11.1","22.2",".",".",".","11.1","11.1",".",".",".",".",".","11.1",".","."
"478
Urban Transport Economics","001","","14","3.393","50.0","21.4","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"671
Energy Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"725","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"725","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","","2","***","","","","","","","","","","","","","","","",""
