"SLAVIC (SLAVIC LANGUAGES)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","002","","12","3.591","50.0","8.3","33.3",".",".",".",".",".","8.3",".",".",".",".",".",".","."
"","102","003","","12","3.292","33.3","41.7","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","102","004","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Russian","","Course Total","","40","3.449","45.0","22.5","25.0",".",".","2.5","2.5",".","2.5",".",".",".",".",".",".","."
"Second Semester Polish","112","001","","16","3.633","56.3","18.8","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"2nd Semester Serbo-Croatian","142","001","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav102","182","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204","001","","11","3.750","54.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","204","002","","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Russian","","Course Total","","27","3.750","63.0","22.2","7.4","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"Fourth Semester Czech","218","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Semester Serbo-Croatian","252","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","","8","3.333","12.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","25.0","."
"Third Year Russian II","276","001","","17","3.500","47.1","17.6","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Third Year Polish II","278","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav204","284","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Zarys historii lit polskiej","302","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Area St-Study Abroad","309","000A","","10","3.962","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Russian:Study Abroad","310","000A","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Lang & Culture II","316","001","","11","3.682","72.7",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian II","322","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Polish I","331","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Uvod u srpsku i hrvtsku lit","342","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Chekhov","420","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soviet Literature","440","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem Intensive Serbo-Cro","442","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Intensv Czech","452","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Survey of Old Russian Lit","701","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Structure of Russian","704","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Slavic Literature","755","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Independent Study","799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"College Teaching of Russian","820","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Pre-Soviet 20C Lit","920","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","008","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 295 of 403",""
