"Computer-Based Data Mgt","422
001","","10","3.600","20.0","80.0",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","8","3.875","75.0","25.0",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Computer-Based Data Mgt","722
001","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INFO SYS
234","Dept. Total","","45","3.622","53.3","35.6","4.4","4.4","",".","",".","2.2","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","5","3.900","80.0","20.0",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","11","3.591","36.4","45.5","18.2",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","22","3.523","54.5","31.8",".","9.1","",".","",".","4.5","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","38","3.592","52.6","34.2","5.3","5.3","",".","",".","2.6","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.500",".","100.0",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","6","3.833","66.7","33.3",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","45","3.622","53.3","35.6","4.4","4.4","",".","",".","2.2","",".","",".",".","",".","",".","",".",".",".","."
