"","990
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","13","",".",".",".",".",".",".",".","84.6","7.7",".",".","7.7",".",".",".","."
"ART HIST
180","Dept. Total","1021","3.386","35.7","24.9","20.0","6.2","2.8","1.8","1.3","6.0","0.1",".",".","0.1","0.2","0.2","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","82","3.369","35.4","28.0","19.5","11.0","3.7","1.2","1.2",".",".",".",".",".",".",".",".","."
"Sophomore","","236","3.366","36.9","29.2","19.5","5.9","3.4","3.4","1.3","0.4",".",".",".",".",".",".",".","."
"Junior","","234","3.350","35.5","20.9","29.9","6.0","2.6","1.7","1.7","0.9",".",".",".",".",".","0.9",".","."
"Senior","","352","3.355","33.5","30.4","19.9","7.1","3.4","1.4","1.4","2.3",".",".",".",".","0.6",".",".","."
"Undergraduates","","904","3.358","35.1","27.4","22.3","6.9","3.2","2.0","1.4","1.2",".",".",".",".","0.2","0.2",".","."
"Special","","46","3.000",".",".","2.2",".",".",".",".","80.4",".",".",".",".",".",".","17.4","."
"Graduate","","71","3.899","67.6","8.5","1.4","1.4",".",".",".","18.3","1.4",".",".","1.4",".",".",".","."
"","Dept. Total","1021","3.386","35.7","24.9","20.0","6.2","2.8","1.8","1.3","6.0","0.1",".",".","0.1","0.2","0.2","0.8","."
