"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","4889","3.395","35.9","24.6","18.4","5.6","3.9","0.7","1.1","1.5","0.0","6.9","0.1","0.9","0.1","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","895","3.262","26.1","28.8","22.3","6.6","5.4","0.4","2.2","0.1",".","7.2","0.4",".",".","0.1",".","0.2"
"Sophomore","","1347","3.410","34.4","28.4","22.3","6.3","3.5","0.2","0.4",".",".","4.0","0.1",".","0.1","0.1",".","0.1"
"Junior","","1032","3.315","32.8","27.2","21.2","7.3","5.0","1.0","1.3",".",".","3.6","0.2",".","0.1","0.1","0.2","."
"Senior","","1062","3.425","44.2","22.6","15.5","4.9","4.0","1.4","1.2","0.8",".","4.8",".",".","0.1","0.3","0.1","0.1"
"Undergraduates","","4336","3.361","34.7","26.8","20.4","6.3","4.4","0.7","1.2","0.2",".","4.8","0.2",".","0.1","0.1","0.1","0.1"
"Special","","108","3.493","21.3","9.3","8.3","3.7",".","0.9",".","14.8",".","38.9",".",".","1.9",".","0.9","."
"Graduate","","445","3.927","51.2","6.5","1.1",".",".",".",".","11.0","0.2","19.8",".","9.7","0.4",".",".","."
"","Dept. Total","4889","3.395","35.9","24.6","18.4","5.6","3.9","0.7","1.1","1.5","0.0","6.9","0.1","0.9","0.1","0.1","0.1","0.1"
