"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"692","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"693","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"693","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Behavior Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"694","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"694","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"694","016","","40","3.969","92.5","5.0",".",".",".",".",".",".",".",".",".",".",".","2.5",".","."
"694","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Developmental Psych","Course Total","","46","3.974","93.5","4.3",".",".",".",".",".",".",".",".",".",".",".","2.2",".","."
"695","002","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","006","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"695","029","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","040","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"695","067","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"695","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Clinical Psychology","Course Total","","71","3.984","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","009","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","012","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","017","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","022","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"697","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","058","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Human Behavior","Course Total","","91","3.994","98.9","1.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","19","3.942","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","24","3.954","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Prosmr-Experimental Psych","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Prosmr in Social Psychology","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Proseminar-Clinical Psych","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".",".","."
"706
Prosmr-Developmental Psych","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Proseminar-Biological Psych","001","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"710
Dsgn&Anal-Psych Experiments","001","","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
