"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116
001","","23","3.761","52.2","47.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116
002","","22","3.682","40.9","54.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","Course Total","","45","3.722","46.7","51.1","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127
001","","39","3.038","12.8","30.8","30.8","12.8","10.3",".","2.6",".",".",".",".",".",".",".",".","."
"","197
001","","23","3.739","65.2","17.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197
002","","20","3.675","60.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","","43","3.709","62.8","16.3","20.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
002","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","38","3.928","92.1","2.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","29","3.310","17.2","34.5","44.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","26","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","Course Total","","33","3.727","57.6","30.3","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318
001","","29","3.379","24.1","37.9","31.0","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321
001","","56","3.411","26.8","39.3","25.0","7.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"","323
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","25","3.880","88.0",".","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
003","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","Course Total","","74","3.926","90.5","4.1","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","57","3.409","43.9","19.3","19.3","10.5",".","1.8","1.8","3.5",".",".",".",".",".",".",".","."
"Phys Agnts-Treat Athl Injry","357
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360
001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361
001","","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365
001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","399
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
028","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","18","3.970","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Org&Admin-Ath Training Prgm","400
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462
001","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","Page 98 of 403"
