"Land Campaigns","351
001","","6","3.667","50.0","33.3","16.7",".","","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Intermed Naval Lab II","376
001","","9","4.000","100.0",".",".",".","","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Advanced Naval Laboratory II","476
001","","16","4.000","100.0",".",".",".","","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Professional Naval Lab II","576
001","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"NAV SCI
672","Dept. Total","","93","3.715","68.8","23.7","6.5","",".","",".","",".","",".","1.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","3.538","20.0","80.0",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","22","3.646","63.6","27.3","9.1","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","24","3.728","66.7","29.2","4.2","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","44","3.778","81.8","11.4","6.8","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","95","3.715","70.5","23.2","6.3","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","96","3.715","69.8","22.9","6.3","",".","",".","",".","",".","1.0","",".",".","",".","",".","",".",".",".","."
