"","990
067","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
069","2","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
071","1","***","","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","51","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"NEUROSCI
682","Dept. Total","269","3.605","43.1","11.2","8.2","1.5","2.2","",".","",".","33.1","",".",".",".","",".","",".",".","0.4","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","13","3.265","38.5","30.8","7.7","7.7","15.4","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","106","3.555","67.0","9.4","16.0","2.8","3.8","",".","",".",".","",".",".",".","",".","",".",".","0.9","."
"Undergraduates","","120","3.515","63.3","11.7","15.8","3.3","5.0","",".","",".",".","",".",".",".","",".","",".",".","0.8","."
"Special","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","138","3.738","26.8","11.6","2.2",".",".","",".","",".","58.7","",".",".",".","",".","",".",".",".","0.7"
"Prof Yr 3","","5","4.000","20.0",".",".",".",".","",".","",".","80.0","",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","4","",".",".",".",".",".","",".","",".","100.0","",".",".",".","",".","",".",".",".","."
"Professionals","","9","4.000","11.1",".",".",".",".","",".","",".","88.9","",".",".",".","",".","",".",".",".","."
"","Dept. Total","269","3.605","43.1","11.2","8.2","1.5","2.2","",".","",".","33.1","",".",".",".","",".","",".",".","0.4","0.4"
