"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","105
003","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
011","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
012","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
014","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","68","3.993","97.1","1.5",".",".",".",".",".",".",".",".",".",".",".","1.5",".","."
"Human Dev:Career Strategies","110
001","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","115
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","17","3.676","82.4","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","115
004","6","3.250","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","115
005","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
007","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","115
008","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","115
009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
010","10","3.500","60.0","20.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","115
011","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","7","2.643","14.3","42.9","14.3",".",".","14.3","14.3",".",".",".",".",".",".",".",".","."
"","115
014","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
017","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
018","17","3.765","76.5","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","154","3.750","82.5","7.8","3.9","0.6","1.9","0.6","2.6",".",".",".",".",".",".",".",".","."
"","620
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Theory & Prac-Interviewing","650
001","115","3.865","82.6","12.2","1.7","2.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Counslng-Community Settings","791
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Guid Prog Plan & Management","803
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling I","806
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assess Tech-Couns Psych","890
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","900
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
