"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PL PATH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","2.500",".",".",".","100.0",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","10","3.058","40.0","10.0","10.0","10.0","30.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","17","3.537","52.9","17.6","23.5","5.9",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","26","3.552","53.8","15.4","23.1",".",".","3.8","",".","3.8","",".",".","",".",".","",".",".",".","."
"Undergraduates","","54","3.431","50.0","14.8","20.4","5.6","5.6","1.9","",".","1.9","",".",".","",".",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","69","3.784","31.9","5.8","2.9",".",".",".","",".","36.2","",".",".","",".","23.2","",".",".",".","."
"","Dept. Total","124","3.529","40.3","9.7","10.5","2.4","2.4","0.8","",".","21.0","",".",".","",".","12.9","",".",".",".","."
