"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"153
001
Ways of Knowing in Sciences","35","3.000","25.7","5.7","37.1","17.1","8.6","5.7",".",".",".",".",".",".",".",".",".","."
"198
006","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
007","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
013","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
016","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
017","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
019","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
024","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
027","10","",".",".",".",".",".",".",".",".",".","80.0","10.0",".",".",".",".","10.0"
"198
031","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
078","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
079","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
081","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
082","4","***","","","","","","","","","",".",".",".",".",".",".","."
"198
083","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198
086","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
088","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","130","",".",".",".",".",".",".",".",".",".","97.7","1.5",".",".",".",".","0.8"
"199
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"199
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
061","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
062","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Directed Study","27","3.967","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","66","3.415","42.4","39.4","4.5","3.0","1.5","4.5","3.0",".",".",".",".",".","1.5",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","65","3.308","41.5","7.7","40.0","1.5","6.2","1.5","1.5",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","93","3.185","24.7","29.0","28.0","5.4","7.5","2.2","2.2",".",".",".",".",".",".",".",".","1.1"
"204
001
West Cult: Lit&The Arts II","134","3.519","49.3","24.6","16.4","5.2","1.5","0.7","1.5","0.7",".",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","189","3.043","14.3","22.8","33.9","20.6","5.3","0.5","1.6","1.1",".",".",".",".",".",".",".","."
"208
001
Hist of Western Culture II","32","3.000","9.4","28.1","34.4","15.6","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","21","3.548","42.9","28.6","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"253
001
Literature and Society","20","3.868","75.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"372
001
Interdis Studies-Soc Sciences","20","3.725","60.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"400
001","12","3.667","58.3","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"400
002","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Capstone Integration Seminar","27","3.630","51.9","29.6","14.8",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"401
001
Global Culture Capstone Smr","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".",".","3.4",".","."
"490
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"490
062","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","Page 233 of 403",""
