"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","922
080","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
090","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Ceramics","924
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Research-Art Metal","944
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
071","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
002","9","3.980","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
007","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
008","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
009","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
014","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
020","10","3.960","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
025","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
031","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
034","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
050","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","999
057","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
067","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
071","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
076","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
080","10","3.942","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
090","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
098","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","195","3.989","95.9","2.6",".",".",".",".",".",".",".",".",".","0.5","1.0",".",".","."
