"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","304
001","23","3.227","26.1","26.1","30.4","8.7",".",".","4.3","4.3",".","",".",".","",".","",".","",".",".","."
"Civilizat of Ancient Rome","322
001","122","3.667","59.8","23.8","9.0","2.5","2.5",".","0.8","0.8",".","",".",".","",".","",".","",".","0.8","."
"Ancient Tragedy","324
001","16","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Classical Mythology","370
001","392","3.308","27.8","33.9","23.5","7.1","2.8","1.0","2.0","1.3",".","",".",".","",".","",".","","0.5",".","."
"Undergrad Smr:Classicl Wrld","591
001","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Senior Honors Thesis","682
021","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Reading","699
002","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Art & Archaeology-Ancient Rome","704
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CLASSICS
244","Dept. Total","574","3.416","37.5","30.7","19.5","5.7","2.4","0.7","1.7","1.2","",".",".","",".","",".","",".","0.3","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","3.293","29.3","36.2","19.0","8.6","3.4",".","3.4",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","187","3.377","34.2","34.2","18.7","8.0","1.6","1.6","1.6",".","",".",".","",".","",".","",".",".",".","."
"Junior","","152","3.464","41.4","28.9","21.7","3.3","2.6","0.7","1.3",".","",".",".","",".","",".","",".",".",".","."
"Senior","","170","3.451","40.6","26.5","19.4","4.7","2.9",".","1.8","4.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","567","3.413","37.6","30.7","19.8","5.8","2.5","0.7","1.8","1.2","",".",".","",".","",".","",".",".",".","."
"Special","","5","3.750","20.0","20.0",".",".",".",".",".",".","",".",".","",".","",".","",".","40.0","20.0","."
"Graduate","","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","574","3.416","37.5","30.7","19.5","5.7","2.4","0.7","1.7","1.2","",".",".","",".","",".","",".","0.3","0.2","."
