"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","397
016","21","3.524","23.8","57.1","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","313","3.429","29.7","37.4","24.3","6.7","1.3",".","0.3",".",".",".",".",".","0.3",".",".","."
"Tech Communications Intrshp","398
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","30","3.948","90.0","3.3","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Technical Editing","497
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
024","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","13","3.967","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","27","3.827","70.4","18.5","7.4",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Engr/Bus Data Communications","519
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","Course Total","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"Tech&Professnl Communicatn","597
001","18","3.625","44.4","22.2","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Communicating Technical Info","617
001","28","3.673","53.6","32.1","3.6",".",".","3.6",".",".",".",".",".",".","7.1",".",".","."
"Engine Design I","621
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine Design II","623
001","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","Course Total","3","***","","","","","","","","","","","","","","","",""
"","690
002","39","3.976","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
009","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
010","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","25.0","."
"","690
010","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","18","3.833","77.8",".","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","690
011","14","3.733","78.6",".","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","107","3.917","89.7","3.7","3.7",".","0.9",".",".",".",".",".",".",".",".",".","1.9","."
"Independent Study","699
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
