"","990
065","2","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
079","2","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","10","",".",".",".",".",".",".","",".","100.0","",".",".",".","",".",".",".",".","."
"Advanced Independent Study","999
012","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"S&A PHM
732","Dept. Total","447","3.577","59.7","17.0","12.1","6.0","2.2","0.2","",".","2.2","",".",".",".","",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.250","50.0",".",".","50.0",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Sophomore","","4","3.250","25.0",".","75.0",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Junior","","8","3.737","75.0",".","25.0",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Senior","","10","3.780","70.0","10.0","20.0",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","24","3.652","62.5","4.2","29.2","4.2",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Graduate","","19","3.688","26.3",".","10.5",".",".",".","",".","52.6","",".",".",".","",".","10.5",".",".","."
"Prof Yr 1","","126","3.093","15.9","25.4","30.2","20.6","7.1","0.8","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 2","","123","3.938","93.5","4.1","1.6",".","0.8",".","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 3","","153","3.844","71.9","24.8","3.3",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".",".",".",".","."
"Professionals","","404","3.571","61.1","18.6","11.1","6.4","2.5","0.2","",".",".","",".",".",".","",".",".",".",".","."
"","Dept. Total","447","3.577","59.7","17.0","12.1","6.0","2.2","0.2","",".","2.2","",".",".",".","",".","0.4",".",".","."
