"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","11","3.273","9.1","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","9","2.833","33.3","11.1","11.1","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"","100
003","10","3.250","20.0","30.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","12","3.125","16.7","8.3","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","11","3.136","9.1","45.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","100
010","11","3.091",".","81.8",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","100
011","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","7","2.786","14.3","28.6","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","100
013","11","3.227","27.3","27.3","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","018
100","12","2.958","16.7","50.0","8.3","8.3",".","8.3","8.3",".",".",".",".",".",".",".",".","."
"","100
019","12","3.292","8.3","58.3","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
020","10","3.000","30.0","30.0","10.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".","."
"","100
021","11","3.364","9.1","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
022","10","3.300","20.0","40.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
026","11","3.091","27.3","27.3","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","100
027","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","100
028","12","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
029","11","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
100","11","2.409",".","27.3","27.3",".","18.2","27.3",".",".",".",".",".",".",".",".",".","."
"","100
034","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","10","3.450","40.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
039","9","2.556","11.1","33.3","22.2","11.1",".",".","22.2",".",".",".",".",".",".",".",".","."
"","100
040","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
042","12","3.333","33.3","25.0","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
043","12","3.292","16.7","41.7","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
044","10","3.200","20.0","40.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","100
045","13","3.500","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
046","13","2.962","7.7","23.1","53.8",".","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","100
047","13","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","10","3.350","30.0","40.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
049","11","3.450","36.4","18.2","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","100
050","11","3.136","18.2","54.5","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","369","3.242","22.2","39.6","22.2","7.6","3.8","2.7","1.6","0.3",".",".",".",".",".",".",".","."
"","105
001","13","2.846","7.7","15.4","38.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".","."
"","105
002","14","2.750",".","14.3","42.9","21.4","21.4",".",".",".",".",".",".",".",".",".",".","."
"","105
003","17","3.029","11.8","23.5","35.3","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"","105
004","15","3.333","20.0","40.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
005","16","3.344","18.8","37.5","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","14","3.464","14.3","64.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","89","3.135","12.4","32.6","33.7","14.6","5.6","1.1",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","199
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","236
001","15","3.000","33.3","6.7","20.0","6.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".","."
