"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Intro to Spanish Linguistics","Course Total","","60","3.500","56.7","16.7","11.7","1.7","10.0",".","1.7","1.7",".",".",".",".",".",".",".","."
"359
Spanish Business Area Study","001","","22","3.318","27.3","31.8","27.3","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"363
Spanish Amer Civilization","001","","25","3.463","40.0","28.0","24.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"414
Lit de la Edad Med Castellana","001","","20","3.568","45.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"417","001","","25","3.914","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"417","002","","20","3.595","45.0","30.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","Course Total","","45","3.774","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"429
Intro to Romance Languages","001","","70","3.500","48.6","22.9","15.7","5.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"453
Lit-Twentieth Century","001","","22","3.380","40.9","13.6","31.8","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"456
Topics in Spanish Lit","000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"460","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"460","001","","21","3.410","28.6","33.3","19.0","14.3",".",".",".","4.8",".",".",".",".",".",".",".","."
"460","002","","20","3.452","55.0","15.0","15.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","","42","3.445","42.9","23.8","16.7","7.1","4.8","2.4",".","2.4",".",".",".",".",".",".",".","."
"464
Spanish Amer Poetry & Essay","002","","23","3.905","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"468","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"468","001","","29","3.842","75.9","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"468","002","","24","3.432","33.3","25.0","37.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","54","3.666","57.4","20.4","20.4",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"504
Survey of Medieval Lit","001","","16","3.594","43.8","31.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Advanced Survey-Spanish Lit","001","","18","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"716
Topics-Spanish American Lit","001","","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Smr-Spanish American Lit","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Lang Smr: Modern Spanish","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"851
Cervantes Don Quijote","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"982
Smr-Latin American Area","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 308 of 403",""
