"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","27","2.904","7.4","25.9","29.6","22.2","7.4",".","3.7","3.7",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"312
Regional Develop & Planning","001","","10","2.900","20.0","20.0","30.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"463
Evolution-American Planning","001","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Hist Geog-European Urbanztn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","002","","29","3.650","27.6","72.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","003","","27","3.661","37.0","48.1","11.1",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"590","004","","26","3.652","57.7",".","30.8",".",".",".",".",".",".",".",".",".",".",".","11.5","."
"Contemp Topics-Urb & Reg Pl","Course Total","","91","3.671","41.8","40.7","13.2",".",".",".",".",".",".",".",".",".",".","1.1","3.3","."
"601
Site Planning","001","","26","3.788","57.7","42.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"645
Modern American Communities","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"718","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"718","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Res Mgt Pract Pl Smr","Course Total","","2","***","","","","","","","","","","","","","","","",""
"751
Intro to Financial Planning","001","","21","3.548","28.6","52.4","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"781
Planning Thought & Practice","001","","17","3.588","41.2","41.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"814
Envir & Alt Dispute Resolution","001","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Practical Rsch Design&Inquiry","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"969","001","","27","3.815","63.0","37.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"969","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"969","003","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Trends&Iss-Public Plan","Course Total","","48","3.865","72.9","27.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","6","3.885","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
