"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","166","3.086","14.5","30.1","30.7","12.0","7.8","1.8","1.2","1.8",".",".",".",".",".",".",".","."
"","301
002","94","3.516","23.4","57.4","16.0","2.1",".",".",".","1.1",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","260","3.242","17.7","40.0","25.4","8.5","5.0","1.2","0.8","1.5",".",".",".",".",".",".",".","."
"","320
001","171","3.332","35.1","27.5","21.1","10.5","1.8","1.8","1.8","0.6",".",".",".",".",".",".",".","."
"","002
320","183","3.284","38.8","16.4","23.0","9.8","10.9","0.5","0.5",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","354","3.307","37.0","21.8","22.0","10.2","6.5","1.1","1.1","0.3",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
002","114","3.893","83.3","8.8","6.1",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","51","3.529","33.3","47.1","13.7","3.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
054","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Seminar-Research in Ed Psyc II","710
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
008","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
011","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","711
012","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","54","3.980","94.4","3.7",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Adolescent Development","721
001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab-Developmental Research","731
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
001","29","3.793","79.3",".","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","45","3.844","75.6","17.8","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","74","3.824","77.0","10.8","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","36","3.847","75.0","19.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","840
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multivariate Analysis","862
001","17","3.719","64.7","5.9","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Child Development","920
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 91 of 403"
