"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","19","3.553","63.2","21.1",".","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","102
003","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
004","15","3.679","80.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".",".","6.7"
"","102
005","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","16","3.625","68.8","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","95","3.729","75.8","14.7","2.1","1.1","2.1","1.1","2.1",".",".",".",".",".",".",".",".","1.1"
"","104
001","16","3.733","43.8","50.0",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","104
002","15","3.433","46.7","26.7","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","104
003","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","13","3.462","15.4","61.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
005","13","3.269","38.5","23.1","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","65","3.500","35.4","44.6","10.8","4.6",".","3.1",".","1.5",".",".",".",".",".",".",".","."
"","112
001","15","3.367","53.3","13.3","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","112
002","16","3.600","43.8","25.0","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","112
003","17","3.167","35.3","17.6","11.8","11.8","5.9",".","5.9","11.8",".",".",".",".",".",".",".","."
"","112
004","14","3.417","28.6","35.7","7.1","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".","7.1"
"","112
005","11","3.409","54.5","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","112
006","11","3.222","27.3",".","45.5",".","9.1",".",".","18.2",".",".",".",".",".",".",".","."
"","112
007","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","112
008","15","3.467","73.3",".","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","112","3.438","49.1","17.0","15.2","6.3","2.7",".","3.6","5.4",".",".",".",".",".",".",".","0.9"
"Current Directions in Art","208
001","126","3.242","20.6","39.7","23.0","10.3","3.2","1.6","1.6",".",".",".",".",".",".",".",".","."
"","212
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","21","3.667","47.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
212","19","3.594","31.6","42.1","5.3","5.3",".",".",".","15.8",".",".",".",".",".",".",".","."
"Drawing II","Course Total","60","3.763","60.0","26.7","6.7","1.7",".",".",".","5.0",".",".",".",".",".",".",".","."
"","214
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","20","3.300","35.0","20.0","20.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","222
002","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
003","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","50","3.600","54.0","24.0","12.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","224
001","15","4.000","86.7",".",".",".",".",".",".","6.7",".",".",".",".",".","6.7",".","."
"","224
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","17","3.917","58.8","11.8",".",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","53","3.978","83.0","3.8",".",".",".",".",".","11.3",".",".",".",".",".","1.9",".","."
"","232
001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
002","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
003","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","43","3.791","69.8","18.6","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
