"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","48","3.344","35.4","27.1","18.8","8.3",".",".","4.2","6.3",".","",".",".","",".","",".",".",".","."
"Asian American Movement","153
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Ethnic Movements in U.S.","220
001","31","3.210","29.0","41.9","12.9","6.5",".","3.2","6.5",".",".","",".",".","",".","",".",".",".","."
"","240
001","10","2.750","20.0","30.0","10.0",".","30.0",".","10.0",".",".","",".",".","",".","",".",".",".","."
"","240
002","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","240
003","22","3.425","59.1","13.6","4.5",".","4.5","4.5","4.5",".",".","",".",".","",".","","9.1",".",".","."
"Topics-Asian Amer Studies","Course Total","41","3.244","43.9","19.5","12.2","2.4","9.8","2.4","4.9",".","",".",".","",".","",".","4.9",".",".","."
"Asian Amer Women Writers","595
001","12","3.500","41.7","16.7","41.7",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","662
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","662
002","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Mass Media and Minorities","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"Ind Study:Directed Readings","699
001","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"ASIAN AM
184","Dept. Total","150","3.360","43.3","24.0","16.7","4.7","2.7","1.3","4.0","2.0","",".",".","",".","",".","1.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","3.419","36.4","40.9","9.1","4.5","4.5","4.5",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","27","2.896","33.3","7.4","25.9","7.4","7.4","3.7","7.4",".","",".",".","",".","",".","7.4",".",".","."
"Senior","","97","3.438","45.4","25.8","16.5","4.1","1.0",".","4.1","3.1","",".",".","",".","",".",".",".",".","."
"Undergraduates","","146","3.344","41.8","24.7","17.1","4.8","2.7","1.4","4.1","2.1","",".",".","",".","",".","1.4",".",".","."
"Special","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","150","3.360","43.3","24.0","16.7","4.7","2.7","1.3","4.0","2.0","",".",".","",".","",".","1.3",".",".","."
