"","999
037","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
043","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
045","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","8","3.941","75.0","12.5",".",".",".",".",".",".","",".",".","",".",".","12.5",".",".","."
"POLI SCI
778","Dept. Total","4126","3.200","27.7","27.1","21.9","10.5","7.4","1.4","1.3","1.2","",".","0.5","",".","0.3","0.3","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","357","2.811","11.5","19.0","26.6","21.8","15.7","2.0","3.1",".","",".",".","",".",".",".",".",".","0.3"
"Sophomore","","829","3.157","22.9","29.3","24.8","12.1","7.8","1.3","1.7",".","",".",".","",".",".",".",".",".","."
"Junior","","1124","3.210","27.8","27.4","23.1","10.2","8.1","1.5","1.1","0.2","",".","0.1","",".",".","0.1","0.2","0.1","0.1"
"Senior","","1568","3.277","31.4","29.1","20.8","8.7","5.8","1.5","1.0","0.9","",".","0.3","",".",".","0.3","0.1",".","."
"Undergraduates","","3878","3.183","26.7","27.7","22.9","11.1","7.8","1.5","1.4","0.4","",".","0.2","",".",".","0.2","0.1","0.0","0.1"
"Special","","29","3.130","20.7","13.8","27.6","13.8","6.9",".",".","13.8","",".","3.4","",".",".",".",".",".","."
"Graduate","","215","3.763","45.6","17.7","4.7","0.5","0.9",".",".","14.0","",".","6.0","",".","6.5","3.7",".","0.5","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","3","3.750","33.3","33.3",".",".",".",".",".","33.3","",".",".","",".",".",".",".",".","."
"Professionals","","4","3.667","25.0","50.0",".",".",".",".",".","25.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","4126","3.200","27.7","27.1","21.9","10.5","7.4","1.4","1.3","1.2","",".","0.5","",".","0.3","0.3","0.1","0.0","0.0"
