"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","26","3.957","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","13","3.462","23.1","61.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","800
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","2","***","","","","","","","","","","","","","","","",""
"","801
001","17","3.936","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
005","13","3.855","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
008","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
011","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
013","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
014","13","3.960","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","105","3.939","90.5","6.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women and Mental Health","820
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aging and Mental Health","821
001","24","3.891","75.0","20.8",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Grief, Death, Loss and Life","825
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","842
001","26","3.731","73.1","11.5","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","860
001","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","862
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","867
001","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","867
002","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","Course Total","46","3.870","76.1","21.7","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","935
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","935
002","24","3.783","54.2","41.7",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Com Mental Health Services","Course Total","46","3.878","73.9","23.9",".",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Research Methods-Social Work","943
001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Welfare Policy","944
001","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Proseminar","948
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Proseminar","951
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 298 of 403",""
