"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","191","3.060","13.1","33.0","37.2","6.3","4.7","1.6","4.2",".",".",".",".",".",".",".",".","."
"","120","001","108","2.890","18.5","11.1","23.1","26.9","14.8","1.9","0.9","2.8",".",".",".",".",".",".",".","."
"","120","002","155","2.876","19.4","11.0","27.1","18.7","18.1","3.9","0.6",".",".",".",".",".","0.6",".","0.6","."
"Global Phys Environments","","Course Total","263","2.882","19.0","11.0","25.5","22.1","16.7","3.0","0.8","1.1",".",".",".",".","0.4",".","0.4","."
"Physical Systems of Envr","127","001","44","2.631","18.2","6.8","29.5","9.1","20.5","2.3","9.1","4.5",".",".",".",".",".",".",".","."
"","170","001","46","3.209","28.3","17.4","26.1","13.0","6.5","2.2",".","6.5",".",".",".",".",".",".",".","."
"","170","002","135","3.123","28.1","21.5","20.0","14.8","10.4","4.4",".","0.7",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","","Course Total","181","3.144","28.2","20.4","21.5","14.4","9.4","3.9",".","2.2",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","7","3.071","28.6","14.3","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","20","3.395","45.0","10.0","20.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","48","2.957","12.5","18.8","29.2","27.1","6.3",".","2.1","4.2",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","28","3.196","17.9","32.1","32.1","7.1","10.7",".",".",".",".",".",".",".",".",".",".","."
"Climatology","321","001","27","3.104","25.9","11.1","22.2","14.8","14.8",".",".","11.1",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","24","3.125","29.2","16.7","20.8","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Landforms&Landscapes-N Amer","329","001","45","3.205","24.4","24.4","24.4","15.6","8.9",".",".","2.2",".",".",".",".",".",".",".","."
"","339","001","40","2.550","10.0","15.0","22.5","15.0","20.0","17.5",".",".",".",".",".",".",".",".",".","."
"","339","002","47","2.446","8.5","6.4","19.1","12.8","44.7","4.3","2.1",".","2.1",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","87","2.494","9.2","10.3","20.7","13.8","33.3","10.3","1.1",".","1.1",".",".",".",".",".",".","."
"Europe","349","001","191","3.325","37.2","16.2","29.3","6.3","7.3",".","1.0","2.6",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","29","2.862","24.1","17.2","17.2","17.2","13.8","6.9","3.4",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","39","2.986","28.2","20.5","15.4","17.9","2.6","2.6","7.7","5.1",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","45","3.011","26.7","15.6","33.3","8.9","2.2","13.3",".",".",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","15","3.367","20.0","33.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","19","3.737","89.5",".","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Hist Geog-European Urbanztn","506","001","30","3.964","86.7","6.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Economic Geography","510","001","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Landform Geography","524","001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","42","3.841","69.0","26.2","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Animated & Web-based Mapping","575","001","32","3.468","46.9","12.5","25.0","9.4","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"GIS Applications","578","001","27","3.556","37.0","37.0","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Special Topics in Geography","675","001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Geography","676","001","17","3.286","29.4","5.9","35.3","5.9","5.9",".",".","11.8",".",".",".",".",".",".","5.9","."
"Senior Honors Thesis","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 212 of 403",""
