"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Elementary Latin","104
001","80","3.175","41.3","18.8","18.8","6.3","6.3","2.5","6.3",".","",".","",".",".","",".","",".","",".",".","."
"","204
001","11","3.500","54.5","18.2","9.1","9.1","9.1",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","204
002","13","3.962","92.3","7.7",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Intro to Latin Literature","Course Total","24","3.750","75.0","12.5","4.2","4.2","4.2",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Latin Lit of Roman Empire","302
001","12","3.625","66.7","25.0",".",".",".","8.3",".",".","",".","",".",".","",".","",".","",".",".","."
"Roman Satire","523
001","9","3.833","66.7","33.3",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Roman Novel","524
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
004","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar-Poetry","910
001","10","3.850","70.0","30.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"LATIN
524","Dept. Total","144","3.407","53.5","20.8","11.8","4.2","4.2","2.1","3.5","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.393","57.1","14.3","14.3","7.1",".",".","7.1","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","25","3.393","48.0","20.0","16.0","4.0","8.0","4.0",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","28","3.514","42.9","25.0","28.6",".","3.6",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","46","3.098","50.0","15.2","6.5","8.7","6.5","4.3","8.7","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","113","3.306","48.7","18.6","15.0","5.3","5.3","2.7","4.4","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","29","3.844","69.0","31.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","144","3.407","53.5","20.8","11.8","4.2","4.2","2.1","3.5","",".","",".",".","",".","",".","",".",".",".","."
