"EDU","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"453
Javanese Performance Repertory","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Interdis Studies in the Arts","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"560","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"560","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","Course Total","","12","3.974","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","2","***","","","","","","","","","","","","","","","",""
