"LANG & CULTURES OF ASIA - LA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Filipino","306","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hmong","308","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Indonesian","310","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","318","001","","9","3.333","22.2","44.4","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Vietnamese","320","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","322","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Arabic","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Second Semester Turkish","340","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Uzbek","344","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","354","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354","002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hindi","","Course Total","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Persian","364","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Telugu","368","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Modern Tibetan","370","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Urdu","372","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Sanskrit","376","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Asian Language","402","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Filipino","406","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hmong","408","001","","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Indonesian","410","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Thai","418","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Vietnamese","420","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Turkish","440","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Uzbek","444","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hindi","454","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Persian","464","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Indonesian","510","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Thai","518","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Vietnamese","520","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Turkish & Azeri","540","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Uzbek","544","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Hindi","554","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Tibetan","558","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Persian","564","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Urdu","572","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thai Prose: The Short Story","618","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Readings in Hindi Lit","654","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Readings in Tibetan","677","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
