"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"The African Storyteller","210","001","192","2.806","23.4","9.4","23.4","19.8","14.1","4.7","4.7","0.5",".",".",".",".",".",".",".","."
"The African Autobiography","211","001","56","3.179","23.2","39.3","12.5","17.9","1.8","1.8","3.6",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","31","3.323","29.0","29.0","29.0","9.7",".","3.2",".",".",".",".",".",".",".",".",".","."
"Intro-African Linguistics","301","001","11","3.409","45.5","27.3","9.1",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","322","001","16","3.688","75.0","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","6.3","."
"","322","003","23","3.130","34.8","26.1","13.0","8.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","","Course Total","39","3.345","51.3","17.9","10.3","5.1","5.1","5.1","2.6",".",".",".",".",".",".",".","2.6","."
"Fourth Semester Arabic","324","002","17","3.063","35.3","11.8","11.8","23.5",".","11.8",".",".",".",".",".",".","5.9",".",".","."
"Colloquial Arabic","326","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Swahili","332","001","18","3.706","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Xhosa","354","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372","001","14","3.420","21.4","57.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Yoruba","374","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory-African Literature","402","001","14","3.554","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp African Fiction","412","001","16","3.387","31.3","25.0","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","436","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","446","001","9","3.688","55.6","11.1","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Adv Studies-Hausa Lang-Rdgs","466","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Oral Tradition&Written Word","471","001","13","3.773","76.9",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Yoruba","476","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teach Africn Lang:Thry&Prac","575","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","669","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"African Verbal Stylistics","702","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-African Linguistics","903","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Indep Reading & Research","999","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
