"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"832
Theory of Probability","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","130","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","200","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","255","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","48","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"992
Seminar","001","","11","3.942","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","","1795","3.089","29.7","16.7","22.7","9.4","12.4","2.7","2.5","3.0",".","0.1",".","0.2","0.1","0.2","0.1","0.1"
